id,timestamp,season,holiday,workingday,weather,temp,temp_feel,humidity,windspeed,demand
1,01-01-2017 00:00,spring,No,No,Clear or partly cloudy,9.84,14.395,81,0,2.7726
2,01-01-2017 01:00,spring,No,No,Clear or partly cloudy,9.02,13.635,80,0,3.6889
3,01-01-2017 02:00,spring,No,No,Clear or partly cloudy,9.02,13.635,80,0,3.4657
4,01-01-2017 03:00,spring,No,No,Clear or partly cloudy,9.84,14.395,75,0,2.5649
5,01-01-2017 04:00,spring,No,No,Clear or partly cloudy,9.84,14.395,75,0,0
6,01-01-2017 05:00,spring,No,No,Mist,9.84,12.88,75,6.0032,0
7,01-01-2017 06:00,spring,No,No,Clear or partly cloudy,,13.635,80,0,0.6931
8,01-01-2017 07:00,spring,No,No,Clear or partly cloudy,8.2,12.88,86,0,1.0986
9,01-01-2017 08:00,spring,No,No,Clear or partly cloudy,9.84,14.395,75,0,2.0794
10,01-01-2017 09:00,spring,No,No,Clear or partly cloudy,13.12,17.425,76,0,2.6391
11,01-01-2017 10:00,spring,No,No,Clear or partly cloudy,15.58,19.695,76,16.9979,3.5835
12,01-01-2017 11:00,spring,No,No,Clear or partly cloudy,14.76,16.665,81,19.0012,4.0254
13,01-01-2017 12:00,spring,No,No,Clear or partly cloudy,17.22,21.21,77,19.0012,4.4308
14,01-01-2017 13:00,spring,No,No,Mist,18.86,22.725,72,19.9995,4.5433
15,01-01-2017 14:00,spring,No,No,Mist,18.86,22.725,72,19.0012,4.6634
16,01-01-2017 15:00,spring,No,No,Mist,18.04,21.97,77,19.9995,4.7005
17,01-01-2017 16:00,spring,No,No,Mist,17.22,21.21,82,19.9995,4.5326
18,01-01-2017 17:00,spring,No,No,Mist,18.04,21.97,82,19.0012,4.2047
19,01-01-2017 18:00,spring,No,No,Light snow or rain,17.22,21.21,88,16.9979,3.5553
20,01-01-2017 19:00,spring,No,No,Light snow or rain,,21.21,88,16.9979,3.6109
21,01-01-2017 20:00,spring,No,No,Mist,16.4,20.455,87,16.9979,3.5835
22,01-01-2017 21:00,spring,No,No,Mist,16.4,20.455,87,12.998,3.5264
23,01-01-2017 22:00,spring,No,No,Mist,16.4,20.455,94,15.0013,3.3322
24,01-01-2017 23:00,spring,No,No,Mist,,22.725,88,19.9995,3.6636
25,02-01-2017 00:00,spring,No,No,Mist,18.86,22.725,88,19.9995,2.8332
26,02-01-2017 01:00,spring,No,No,Mist,18.04,21.97,94,16.9979,2.8332
27,02-01-2017 02:00,spring,No,No,Mist,,21.21,100,19.0012,2.1972
28,02-01-2017 03:00,spring,No,No,Mist,18.86,22.725,94,12.998,1.7918
29,02-01-2017 04:00,spring,No,No,Mist,18.86,22.725,94,12.998,1.0986
30,02-01-2017 06:00,spring,No,No,Light snow or rain,17.22,21.21,77,19.9995,0.6931
31,02-01-2017 07:00,spring,No,No,Mist,16.4,20.455,76,12.998,0
